"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ST79Z72D","journalArticle","2016","Kovar, Florian; Jauregui, Julio J.; Specht, Stacy C.; Baker, Erin; Bhave, Anil; Herzenbergc, John E.","Upper Extremity Nerve Function and Pain in Human Volunteers with Narrow versus Wide Tourniquets","Journal of Long-Term Effects of Medical Implants","","1940-4379","10/f9mpbd","","Nerve injury is a serious potential complication associated with clinical use of tourniquets during surgery. A novel narrow, single-use silicon ring tourniquet has been introduced, which may cause less nerve compression and provide a larger field of surgical exposure than standard wide tourniquets. We investigated both types of tourniquets in the non-dominant proximal upper arm of 15 healthy human volunteers. Pain and neurological effects were assessed during 15 minute trials with each tourniquet applied 1 week apart without anesthesia according to the manufacturers' recommendations. Median nerve function was studied using the pressure-specified sensory device, an instrumented two-point discriminator, and pain was assessed by two validated instruments. Skin sores, redness, nerve damage, or neurological complications did not occur in either group. Subjects reported more pain with the narrow tourniquet; however, measurable effect on median nerve function was the same in both groups. Tourniquet application with the narrow device was more efficient, the device was easier to use, and larger surgical field exposure was obtained. We conclude that the sensory deficit with the use of narrow tourniquets is not greater than that observed with pneumatic/wide tourniquets.","2016","2024-09-02 17:43:53","2024-09-02 17:43:53","","173-181","","2","26","","J Long Term Eff Med Implants","","","","","","","","eng","","","","","PubMed","","00000 Citation Key: Kovar.etal2016Uppera QID: Q47341421","","; ","http://www.ncbi.nlm.nih.gov/pubmed/28094742; http://www.ncbi.nlm.nih.gov/pubmed/28094742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6T9PX6G","book","2022","","Global debates in the digital humanities","","978-1-4529-6710-3","","","","""This collection addresses the lack of perspectives beyond Westernized and Anglophone contexts in the digital humanities. Focused on work that has been underappreciated for linguistic, cultural, or geopolitical reasons, contributors showcase alternative histories that detail the rise of the digital humanities in the Global South and other ""invisible"" contexts and explore the implications of a truly global digital humanities""--","2022","2024-09-02 17:43:49","2024-09-02 17:43:49","","","1","","","","","","Debates in the digital humanities","","","","University of Minnesota Press","Minneapolis","","","","","","Library of Congress ISBN","AZ105","Citation Key: Fiormonte.etal2022Global","","","","#nosource","Developing countries; Digital humanities; Humanities; Learning and scholarship; Research; Social aspects","Fiormonte, Domenico; Chaudhuri, Sukanta; Ricaurte, Paola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GREM3JJ9","bookSection","2022","Rodríguez-Ortega, Nuria","Digital Social Sciences and Digital Humanities of the South. Materials for a Critical Discussion","Global debates in the digital humanities","978-1-4529-6710-3","","","","""This collection addresses the lack of perspectives beyond Westernized and Anglophone contexts in the digital humanities. Focused on work that has been underappreciated for linguistic, cultural, or geopolitical reasons, contributors showcase alternative histories that detail the rise of the digital humanities in the Global South and other ""invisible"" contexts and explore the implications of a truly global digital humanities""--","2022","2024-09-02 17:44:14","2024-09-02 17:44:14","","101-114","","","","","","","Debates in the digital humanities","","","","University of Minnesota Press","Minneapolis","","","","","","Library of Congress ISBN","AZ105","Citation Key: Rodriguez-Ortega2022Digital","","","","#nosource","Developing countries; Digital humanities; Humanities; Learning and scholarship; Research; Social aspects","Fiormonte, Domenico; Chaudhuri, Sukanta; Ricaurte, Paola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAJMSW6H","bookSection","2019","Blackwell, C.W.; Smith, N.","The CITE Architecture: a Conceptual and Practical Overview","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","https://doi.org/10.1515/9783110599572-006","CITE, originally developed for the Homer Multitext, is a digital library architecture for identification, retrieval, manipulation, and integration of data by means of machine-actionable canonical citation. CITE stands for “Collections, Indices, Texts, and Extensions”, and the acronym invokes the long history of citation as the basis for scholarly publication. Each of the four parts of CITE is based on abstract data models. Two parallel standards for cita- tion identify data that implement those models: the CTS URN, for identifying texts and passages of text, and the CITE2 URN for identifying other data. Both of these URN citation schemes capture the necessary semantics of the data they identify, in context. In this paper we will describe the theoretical foundations of CITE, explain CTS and CITE2 URNs, describe the current state of the models for scholarly data that CITE defines, and introduce the current data formats, code libraries, utilities, and end-user applications that implement CITE.","2019","2024-09-02 17:46:24","2024-09-02 17:46:24","","73-93","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Blackwell.Smith2019CITE","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"326MWDQM","journalArticle","2014","","Computational Humanities - bridgin the gap between Computer Science and Digital Humanities","Dagstuhl Reports","","","10/gk786c","","Report from Dagstuhl Seminar 14301Computational Humanities - bridging the gap betweenComputer Science and Digital HumanitiesEdited byChris Biemann1, Gregory R. Crane2, Christiane D. Fellbaum3, andAlexander Mehler41   TU Darmstadt, DE,biem@cs.tu-darmstadt.de2   Tufts University, US,gregory.crane@Tufts.edu3   Princeton University, US,fellbaum@princeton.edu4   Goethe-Universität Frankfurt am Main, DE,mehler@em.uni-frankfurt.deAbstractResearch in the field of Digital Humanities, also known as Humanities Computing, has seen asteady increase over the past years. Situated at the intersection of computing science and thehumanities, present efforts focus on making resources such as texts, images, musical pieces andother semiotic artifacts digitally available, searchable and analysable. To this end, computationaltools enabling textual search, visual analytics, data mining, statistics and natural language pro-cessing are harnessed to support the humanities researcher. The processing of large data setswith appropriate software opens up novel and fruitful approaches to questions in the traditionalhumanities. This report summarizes the Dagstuhl seminar 14301 on “Computational Humanities- bridging the gap between Computer Science and Digital Humanities”.","2014","2024-09-02 17:46:20","2024-09-02 17:46:20","2021-02-05","1-31","","1","1","","","","","","","","","","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Biemann.etal2014Computational","","","","#nosource","","Biemann, C.; Crane, G. R.; Fellbaum, C. D.; Mehler, A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QB54ZBR","blogPost","2019","Biblioteca Histórica de la Universidad de Salamanca","‘Mapeo’ de manuscritos medievales.","El Mercurio salmantino","","","","https://bibliotecahistoricausal.wordpress.com/2019/05/03/mapeo-de-manuscritos-medievales/","Los manuscritos medievales y renacentistas son testigos de la vida y cultura de la Europa premoderna. Su rareza y belleza los sitúan entre los mayores tesoros de los museos, bibliotecas y galerías …","2019-05-03","2024-09-02 17:46:14","2024-09-02 17:46:14","2019-05-04 21:11:40","","","","","","","","","","","","","","es-ES","","","","","","","00000 Citation Key: BibliotecaHistoricadelaUniversidaddeSalamanca2019Mapeo","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTSZGWQ7","bookSection","2001","Bia, Alejandro; Sánchez Quero, Manuel","Building Spell-Checking Facilities for Ancient Spanish","The Association for Comptuers and the Humanities. The Association for Literary and Linguistic Computing. The 2001 Joint International Conference","","","","http://media.cervantesvirtual.com/research/articles/allc01-old-dict.pdf","","2001","2024-09-02 17:46:11","2024-09-02 17:46:11","","9-11","","","","","","","","","","","New York University","New York","English","","","","","","","ZSCC: 0000004 Citation Key: Bia.SanchezQuero2001Buildinga","","","","#nosource; Biblioteca Virtual Miguel de Cervantes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDVXTDUP","bookSection","2001","Bia, Alejandro; Sánchez Quero, Manuel","Diseño de un procedimiento de marcado para la automatización del procesamiento de textos digitales usando XML y TEI","JBIDI. II Jornadas de bibliotecas digitales","","","","http://media.cervantesvirtual.com/research/articles/jbidi01.pdf","En este artículo se pretende explicar la investigación llevada a cabo por la Biblioteca Virtual Miguel de Cervantes en el desarrollo de una política de marcado de textos literarios y la automatización de su procesamiento. También se intenta explicar y argumentar algunas de las decisiones de diseño tomadas y las soluciones de compromiso a que hemos llegado. Estre estas decisiones, cabe destacar la elección del lenguaje de marcado y la política de marcado.","2001","2024-09-02 17:46:03","2024-09-02 17:46:03","","","","","","","","","","","","","","","","","","","","","","ZSCC: 0000008[s0] Citation Key: Bia.SanchezQuero2001Diseno","; ; The following values have no corresponding Zotero field:<br/>JF  - JBIDI. II jornadas de bibliotecas digitales<br/>; The following values have no corresponding Zotero field:<br/>JF  - JBIDI. II jornadas de bibliotecas digitales<br/>","","","#nosource; XML; Biblioteca Virtual Miguel de Cervantes; Bibliotecas Digitales; DocBook; DTDprune; HTML; SGML; TEI","","Fuente Redondo, Pablo Lucio de la; Pérez Alarcón, Adoración","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQSMES2X","bookSection","2002","Bia, Alejandro; Sánchez, Manuel","Desarrollo de una política de preservación digital: tecnología, planificación y perseverancia","JBIDI. III Jornadas de bibliotecas digitales","","","","http://media.cervantesvirtual.com/research/articles/JBIDI02a.pdf","","2002","2024-09-02 17:45:58","2024-09-02 17:45:58","","","","","","","","","","","","","","","Spanish","","","","","","","ZSCC: 0000002 Citation Key: Bia.Sanchez2002Desarrolloa","; ; The following values have no corresponding Zotero field:<br/>JF  - JBIDI. III Jornadas de Bibliotecas digitales<br/>; The following values have no corresponding Zotero field:<br/>JF  - JBIDI. III Jornadas de Bibliotecas digitales<br/>","","","#nosource; XML; Biblioteca Virtual Miguel de Cervantes; Arqueología digital; Copias de seguridad; Emulación; Migración; Preservación; TACT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DVH2KPD","journalArticle","2001","Bia, Alejandro; Pedreño, Andrés","The Miguel de Cervantes Digital Library: the Hispanic Voice on the Web","Literary and Linguistic Computing","","","10/bnhsbf","http://llc.oxfordjournals.org/content/16/2/161.full.pdf","This paper describes the philosophy behind what represents one of the most ambitious projects of its kind ever to have been undertaken in the Spanish-speaking world: the Miguel de Cervantes Digital Library. It explains the reasons behind its creation, the private-public sector alliance that has made it possible, and the new ground being explored by its creators in terms of new services it offers to its audience worldwide and of innovative application of digital methods. The final section of the paper deals with the technical underpinnings of this project at present and in the future, reporting continuing research and development activities being carried out at the Miguel de Cervantes Digital Library in the field of text markup and derived applications, such as automatic transformation of documents to different formats and complex searches performed upon the small textual objects defined by the markup schemes. A brief survey of works done on Named Entity Recognition that can be applied to automatic markup is also included. Finally, there are some comments on the research lines we intend to follow concerning information retrieval and filtering from structurally marked-up texts.","2001","2024-09-02 17:45:54","2024-09-02 17:45:54","","161-177","","1","16","","","","","","","","","","English","","","","","","","00016 Citation Key: Bia.Pedreno2001Miguela","","","","#nosource; XML; humanidades digitales; Biblioteca Virtual Miguel de Cervantes; Bibliotecas Digitales; DocBook; HTML; SGML; TEI; TACT; Banco Santander Central Hispano; Codificación; Metadatos; Natural Language Processing; PDF; Universidad de Alicante; XSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BADGF6CQ","conferencePaper","2018","Berti, A.","Fotogramas autorizados: la crisis de la noción de obra cinematográfica ante las remasterizaciones","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","","En ""Remediaciones"", un texto fundacional de las primeras discusiones sobre los nuevos medios, Bolter y Grusin (2003) señalan que la aparición de cada nuevo medio suele poner de manifiesto la opacidad de los medios previos. Así, la aparición del DVD pone en evidencia el ruido visual del vdeocassette que asumíamos como tolerable. Por supuesto, esto no implica aceptar acríticamente un devenir casi teleológico de la tecnología en marcha hacia un progreso permanente de mediaciones cada vez menos perceptibles frente a lo real, ya que cad anovedad también introduce nuevas opacidades. Por citar un ejemplo trivial, si el reproductor de DVD no necesitaba que usáramos la perilla del tracking para calibrar la imagen, nos traía en cambio la novedad de la imagen tildada. Además, la idea de remediación aludía a otro aspecto de los registros: la posibilidad de adaptar un contenido dado a un nuevo medio, remediarlo, en el sentido de rescatarlo de la obsolescencia. Mi proyecto en curso indaga la digitalización del cine originalmente rodado y proyectado en fílmico. El proyecto está aún en una etapa exploratoria que requiere establecer algunas definiciones operativas. En este trabajo me interesa discutir la noción de ""obra cinematográfica"" y ponerla en relación con dos problemas recurrentes en las teorías del cine, el de la ""autoría"" y el de la ""adaptación"". Para ello, discutiré las reediciones de tres obras que fueron ejemplos cabales de cierta ambición cinematográfica en distintos periodos: ""Metrópolis"" de Fritz Lang, la forzada trilogía de Peter Jackson ""El hobbit"" y la saga de ""La guerra de las Galaxias"" de George Lucas. El método podría extenderse a Blade Runner, Apocalypse Now o Cenizas del tiempo, por citar tres obras con ambiciones análogas y mayores méritos artísticos. Las tres obras elegidas, sin embargo, tienen una inscripcíon socio-histórica que las distingue como referencias cabales de ciertos códigos fílmicos: el de cine mudo, el de cine hollywoodense en su etapa digital y el del mismo cine en su etapa pre-digital.","2018","2024-09-02 17:45:43","2024-09-02 17:45:43","","(371-379)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Berti2018Fotogramas","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales","","","","","","","","","","","","","","",""
"Z5B3NJRG","bookSection","2019","Berti, M.","Historical Fragmentary Texts in the Digital Age","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","https://doi.org/10.1515/9783110599572-015","This paper describes how the digital revolution is changing the way scholars access, analyze, and represent historical fragmentary texts, with a focus on traces of quotations and text reuses of ancient Greek and Latin sources. The contribution presents two different projects: 1) the Digital Fragmenta Historicorum Graecorum (DFHG), which is a digital collection of ancient Greek fragmentary historians enriched with functionalities for access- ing and analyzing their texts; 2) the Digital Athenaeus, which provides experi- mental tools for reading the text of the Deipnosophists of Athenaeus of Naucratis and getting information about citations of authors and works that are preserved in it.","2019","2024-09-02 17:45:37","2024-09-02 17:45:37","","257-276","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: 0000000  Citation Key: Berti2019Historical","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82H33X67","book","2019","","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","","978-3-11-059678-6 978-3-11-059957-2","","","","","2019","2024-09-02 17:45:33","2024-09-02 17:45:33","","","348","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: 0000017  Citation Key: Berti2019Digital","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRI8J8V9","bookSection","2019","Berti, M.","Contents","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","","","2019","2024-09-02 17:45:30","2024-09-02 17:45:30","","XI-XIII","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: 0000001  Citation Key: Berti2019Contents","","","","#nosource","","","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8GVXQ7N","bookSection","2019","Berti, M.","Notes on Contributos","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","https://doi.org/10.1515/9783110599572-019","","2019","2024-09-02 17:45:26","2024-09-02 17:45:26","","341-345","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Berti2019Notes","","","","#nosource","","","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HV7IB47","bookSection","2019","Berti, M.","Introduction","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","https://doi.org/10.1515/9783110599572-001","","2019","2024-09-02 17:45:23","2024-09-02 17:45:23","","1-4","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Berti2019Introduction","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZTE7NQ5","bookSection","2019","Coffee, N.","Intertextuality as Viral Phrases: Roses and Lilies","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","978-3-11-059678-6 978-3-11-059957-2","","","https://doi.org/10.1515/9783110599572-011","This article addresses the phenomenon of “viral intertextuality,” or instances of distinct language that appear serially over multiple literary works. It demonstrates how current digital methods make instances of viral intertextu- ality much easier to detect. It argues for the value of reading such chains of similar phrases together. And it points toward possible improvements in digital detection and analysis methods that would further facilitate this kind of read- ing. The illustrative example is Vergil’s description of Lavinia’s blush at Aeneid 12.67–69, along with its predecessor and successor passages.","2019","2024-09-02 17:47:48","2024-09-02 17:47:48","","177-200","","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Coffee2019Intertextuality","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5I8BR75F","bookSection","2019","Clérice, T.; Munson, M.","Qualitative Analysis of Semantic Language Models","Ancient Manuscripts in Digital Culture. Visualisation, Data Mining, Communication","978-90-04-39929-7","","","http://doi.org/10.1163/9789004399297_007","Much attention has been given in the last several years to the task of automatically extracting semantic information from raw textual data and the best algorithms and the best parameters to achieve this task. But the accomplishment of this task need not be an end in itself. Instead, the data that is produced by these processes can be used to answer questions outside of purely linguistic studies. This paper aims to help make these algorithmic processes more accessible to other humanities disciplines by considering how one can qualitatively assess the results returned by such algorithms. It will introduce an effective and yet easy-to-understand metric for parameter choice which we call Gap Score. Then it will use Gap Score to analyze three distinct sets of results produced by two different algorithmic processes to discover what type of information they return and, thus, for which types of hermeneutical tasks they may be useful. Our purpose in doing this is to demonstrate that the accuracy of an algorithm on a specific test, or even a range of tests, does not tell the user everything about that algorithm. Gap Score introduces a qualitative aspect to the assessment of algorithmic processes that recognizes that an algorithm that might score lower on a certain standardized test may actually be better for certain hermeneutical tasks than a better scoring algorithm.","2019","2024-09-02 17:47:41","2024-09-02 17:47:41","","87-114","","","1","1","","","Digital Biblical Studies","3","","","Brill","Leiden - Boston","English","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Clerice.Munson2019Qualitative","","","","#nosource","","Hamidović, D.; Clivaz, C.; Bowen Savant, S.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KW4H3SRF","journalArticle","1997","Child, Jack","Assessing the impact of computer-assisted instruction (CAI) in undergraduate Latin American studies courses","Computers and the Humanities","","0010-4817","10/fgp4k8","","","1997","2024-09-02 17:47:23","2024-09-02 17:47:23","","389-407","","5","31","","","Assessing the impact of computer-assisted instruction (CAI) in undergraduate Latin American studies courses","","","","","","","","","","","","","","Citation Key: Child1997Assessinga","","","","#nosource","humanidades digitales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJJKXI7X","journalArticle","2017","Cavalcanti, Marcia Teixeira","OS WEBSITES DOS CENTROS DE DOCUMENTAÇÃO E A PESQUISA HISTÓRICA: uso de fontes digitais","Revista Observatório","","2447-4266","10/gf78wg","https://sistemas.uft.edu.br/periodicos/index.php/observatorio/article/view/3661","","2017-08-01","2024-09-02 17:47:13","2024-09-02 17:47:13","2019-07-27 22:47:09","169","","5","3","","","OS WEBSITES DOS CENTROS DE DOCUMENTAÇÃO E A PESQUISA HISTÓRICA","","","","","","","","","","","","Crossref","","Number: 5 Citation Key: Cavalcanti2017OS","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGFNU43D","journalArticle","1969","Boyd Bowman, Peter","Linguistic analysis of Spanish colonial documents","Computers and the Humanities","","0010-4817","10/ckxpsd","","","1969","2024-09-02 17:46:51","2024-09-02 17:46:51","","179-&","","3","3","","","Linguistic analysis of Spanish colonial documents","","","","","","","","","","","","","","Citation Key: BoydBowman1969Linguistica","","","","#nosource","humanidades digitales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8THHW6W","journalArticle","2014","Bordalejo, Barbara; Maguire, Fiona; Moreno, Manuel; Robinson, Peter; Severin, Dorothy","An Electronic Corpus of Fifteenth-Century Castilian Cancionero Manuscripts","Digital Philology: A Journal of Medieval Cultures","","2162-9552","10/gk7868","http://muse.jhu.edu/content/crossref/journals/digital_philology/v003/3.1.bordalejo.html","","2014","2024-09-02 17:46:43","2024-09-02 17:46:43","2014-09-13 07:39:52","11-23","","1","3","","","","","","","","","","en","","","","","CrossRef","","Citation Key: Bordalejo.etal2014Electronica","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TH2U3SRP","journalArticle","1981","Boody, Charles G.; Riedel, Johannes","A computer-aided study of Ecuadorean urban music","Computers and the Humanities","","0010-4817","10/fq5t6h","","","1981","2024-09-02 17:46:35","2024-09-02 17:46:35","","61-74","","2","15","","","A computer-aided study of Ecuadorean urban music","","","","","","","","","","","","","","Citation Key: Boody.Riedel1981computeraideda","","","","#nosource","humanidades digitales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KE958X6C","journalArticle","2014","Bonner, Anthony; Soler, Albert; Badia, Lola","A Brief History of the Llull DB and Its Derivatives","Digital Philology: A Journal of Medieval Cultures","","2162-9552","10/gk7864","http://muse.jhu.edu/content/crossref/journals/digital_philology/v003/3.1.bonner.html","","2014","2024-09-02 17:46:31","2024-09-02 17:46:31","2014-09-13 07:40:45","59-74","","1","3","","","","","","","","","","en","","","","","CrossRef","","Citation Key: Bonner.etal2014Briefa","","","","#nosource; Bases de datos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
